DateTimeYear,index,Rocket,Payload,Operator,Orbit,Function,Decay,Outcome,FlightNumberInfo,LaunchSite
29 August 03:59-2009,"4566, 4567, 4568",Space Shuttle Discovery,"STS-128[84], Leonardo MPLM, Crewed flight with seven astronauts.","NASA, ASI / NASA, Crewed flight with seven astronauts.","LEO (ISS), Crewed flight with seven astronauts.","ISS assembly, ISS logistics, Crewed flight with seven astronauts.","11 September 00:53, Crewed flight with seven astronauts.","Successful, Crewed flight with seven astronauts.",,
31 August 09:28[85]-2009,"4570, 4571",Long March 3B,"Palapa-D, Third stage failed during restart[85] due to gas generator burn-through.[8]","Indosat, Third stage failed during restart[85] due to gas generator burn-through.[8]","GEO, Third stage failed during restart[85] due to gas generator burn-through.[8]","Communications, Third stage failed during restart[85] due to gas generator burn-through.[8]","In orbit, Third stage failed during restart[85] due to gas generator burn-through.[8]","Partial launch failure Operational[86], Third stage failed during restart[85] due to gas generator burn-through.[8]",,
8 September 21:35-2009,4574,Atlas V 401,USA-207 (PAN),NRO,GEO,Reconnaissance,In orbit,Operational,,
10 September 17:01:46[87]-2009,4576,H-IIB,HTV-1,JAXA,LEO (ISS),ISS logistics,1 November 21:26,Successful,,
17 September 15:55:07[89][90]-2009,"4579, 4580, 4581, 4582, 4583, 4584, 4585, 4586",Soyuz-2.1b / Fregat,"Meteor-M No.1, BLITS, IRIS[91], Sterkh-2, SumbandilaSat[94], UGATUSAT[95], Universitetsky-Tatyana-2[97], Meteor M-1 was a replacement for Meteor-3M No.1. IRIS intentionally remained attached to upper stage.","Roscosmos, NPO Lavochkin / EADS Astrium, Stellenbosch, UGATU, MSU, Meteor M-1 was a replacement for Meteor-3M No.1. IRIS intentionally remained attached to upper stage.","LEO (SSO), Meteor M-1 was a replacement for Meteor-3M No.1. IRIS intentionally remained attached to upper stage.","Meteorology, Geodesy, satellite laser ranging, Technology demonstration, Communications Search and rescue, Earth observation, Meteor M-1 was a replacement for Meteor-3M No.1. IRIS intentionally remained attached to upper stage.","In orbit, 12 March 2021[92], 10 December 2021, Meteor M-1 was a replacement for Meteor-3M No.1. IRIS intentionally remained attached to upper stage.","Successful, Operational, Spacecraft failure[93], Spacecraft failure; Partial success, Spacecraft failure[96], Meteor M-1 was a replacement for Meteor-3M No.1. IRIS intentionally remained attached to upper stage.",,
17 September 19:19:19-2009,4588,Proton-M / Briz-M Enhanced,Nimiq 5,Telesat Canada,GEO,Communications,In orbit,Operational[98],,
23 September 06:21[99]-2009,"4590, 4591, 4592, 4593, 4594, 4595, 4596, 4597",PSLV-CA,"Oceansat-2, Rubin 9.1, Rubin 9.2, ⚀ BeeSat-1, ⚀ ITU-pSat1, ⚀ SwissCube-1, ⚀ UWE-2, First Swiss satellite, Rubin payloads intentionally remained attached to upper stage.","ISRO, OHB-System, TU Berlin, ITU, EPFL, Würzburg, First Swiss satellite, Rubin payloads intentionally remained attached to upper stage.","LEO (SSO), First Swiss satellite, Rubin payloads intentionally remained attached to upper stage.","Oceanography, Technology demonstration, Atmospheric science, First Swiss satellite, Rubin payloads intentionally remained attached to upper stage.","In orbit, First Swiss satellite, Rubin payloads intentionally remained attached to upper stage.","Operational, Successful, First Swiss satellite, Rubin payloads intentionally remained attached to upper stage.",,
25 September 12:20[100]-2009,"4599, 4600",Delta II 7920-10C,"USA-208 (STSS-Demo 1), USA-209 (STSS-Demo 2)",U.S. Air Force,LEO,Technology demonstration Missile defence,In orbit,Successful[101],,
30 September 07:14-2009,"4602, 4603",Soyuz-FG,"Soyuz TMA-16, Crewed flight with three cosmonauts","Roscosmos, Crewed flight with three cosmonauts","LEO (ISS), Crewed flight with three cosmonauts","Expedition 21, Crewed flight with three cosmonauts","18 March 2010, Crewed flight with three cosmonauts","Successful, Crewed flight with three cosmonauts",,
1 October 21:59[102]-2009,"4606, 4607",Ariane 5 ECA,"Amazonas-2, COMSATBw-1","Hispasat, Bundeswehr",GEO,Communications,In orbit,Operational,,
8 October 18:51[103]-2009,4609,Delta II 7920,WorldView-2,DigitalGlobe,LEO (SSO),Earth observation,In orbit,Operational,,
15 October 01:14-2009,"4611, 4612",Soyuz-U,"Progress M-03M, ISS flight 35P","Roscosmos, ISS flight 35P","LEO (ISS), ISS flight 35P","ISS logistics, ISS flight 35P","27 April 2010 18:50:56, ISS flight 35P","Successful, ISS flight 35P",,
18 October 16:12-2009,4614,Atlas V 401,USA-210 (DMSP-5D3 F18),U.S. Air Force / NOAA,LEO (SSO),Meteorology,In orbit,Operational,,
29 October 20:00-2009,"4616, 4617",Ariane 5 ECA,"Thor-6, NSS-12","Telenor, SES World Skies",GEO,Communications,In orbit,Operational,,
2 November 01:50-2009,"4620, 4621",Rokot / Briz-KM,"SMOS[105], Proba-2",ESA,LEO (SSO),Earth observation,In orbit,Operational,,
10 November[51] 14:22-2009,"4623, 4624, 4625",Soyuz-U,"Progress M-MIM2, Poisk (MRM-2), ISS flight 5R","Roscosmos, ISS flight 5R","LEO (ISS), ISS flight 5R","Orbital tug, ISS assembly, ISS flight 5R","8 December 05:27[106], In orbit, ISS flight 5R","Successful, Operational, ISS flight 5R",,
12 November 02:45[107]-2009,4627,Long March 2C,Shijian 11-01,CASC,LEO (SSO),Technology demonstration,In orbit,Operational,,
16 November[71] 19:28-2009,"4629, 4630, 4631, 4632",Space Shuttle Atlantis[44],"STS-129, ExPRESS-1, ExPRESS-2, Crewed flight, launching with six astronauts, and landing with seven.","NASA, Crewed flight, launching with six astronauts, and landing with seven.","LEO (ISS), Crewed flight, launching with six astronauts, and landing with seven.","ISS assembly, ISS logistics, Crewed flight, launching with six astronauts, and landing with seven.","27 November 14:44[108], In orbit, Crewed flight, launching with six astronauts, and landing with seven.","Successful, Operational, Crewed flight, launching with six astronauts, and landing with seven.",,
20 November 10:44-2009,4634,Soyuz-U,Kosmos 2455 (Lotos-S),VKS,LEO,ELINT,In orbit,Operational,,
23 November 06:55[109]-2009,4636,Atlas V 431,Intelsat 14,Intelsat,GEO,Communications,In orbit,Operational,,
24 November 14:19[110]-2009,4638,Proton-M / Briz-M Enhanced[111],Eutelsat W7,Eutelsat,GEO,Communications,In orbit,Operational,,
28 November[112] 01:21-2009,4640,H-IIA 202,IGS Optical 3[113],CSICE,LEO (SSO),Reconnaissance,In orbit,Successful[114],,
30 November 21:00[115]-2009,4642,Zenit-3SLB[116],Intelsat 15,Intelsat,GEO,Communications,In orbit,Operational,,
6 December 01:47[117]-2009,4645,"Delta IV-M+ (5,4)",USA-211 (WGS-3),U.S. Air Force,GEO,Communications,In orbit,Successful,,
9 December 08:42[118]-2009,4648,Long March 2D,Yaogan-7,CNSA,LEO (SSO),Earth observation,In orbit,Operational,,
14 December 10:38[119]-2009,"4650, 4651, 4652",Proton-M / DM-2 Enhanced,"Kosmos 2456 (Glonass-M 730), Kosmos 2457 (Glonass-M 733), Kosmos 2458 (Glonass-M 734)",VKS,MEO,Navigation,In orbit,Operational,,
14 December 14:09[120]-2009,4654,Delta II 7320,WISE,NASA,LEO (SSO),Infrared astronomy,In orbit,Operational,,
15 December 02:31[121]-2009,"4656, 4657",Long March 4C,"Yaogan-8, Xiwang 1",CNSA,LEO (SSO),"Earth observation, Amateur radio",In orbit,Operational,,
18 December 16:26-2009,"4659, 4660",Ariane 5GS,"Helios IIB, ","DGA, Final flight of Ariane 5GS.","LEO (SSO), Final flight of Ariane 5GS.","Reconnaissance, Final flight of Ariane 5GS.","In orbit, Final flight of Ariane 5GS.","Operational, Final flight of Ariane 5GS.",Final flight,
20 December 21:52-2009,"4662, 4663",Soyuz-FG,"Soyuz TMA-17, Crewed flight with three cosmonauts.","Roscosmos, Crewed flight with three cosmonauts.","LEO (ISS), Crewed flight with three cosmonauts.","Expedition 22, Crewed flight with three cosmonauts.","2 June 2010 03:25, Crewed flight with three cosmonauts.","Successful, Crewed flight with three cosmonauts.",,
29 December 00:22-2009,4665,Proton-M / Briz-M Enhanced,DirecTV-12,DirecTV,GEO,Communications,In orbit,Operational,,
16 January 16:12-2010,4668,Long March 3C,BeiDou-2 G1 (Beidou-3/Compass-G1),CNSA,GEO,Navigation,In orbit,Operational,,
28 January 00:18-2010,4670,Proton-M / Briz-M Enhanced,Raduga-1M №2 (Globus-1M №12L),VKS,GEO,Communications,In orbit,Operational,,
3 February 03:45-2010,"4673, 4674",Soyuz-U,"Progress M-04M / 36P, ISS flight 36P","Roscosmos, ISS flight 36P","LEO (ISS), ISS flight 36P","ISS logistics, ISS flight 36P","1 July 14:40, ISS flight 36P","Successful, ISS flight 36P",,
8 February 09:14-2010,"4676, 4677, 4678, 4679",Space Shuttle Endeavour,"STS-130, Tranquility[10], Cupola, Crewed flight with six astronauts.","NASA, Crewed flight with six astronauts.","LEO (ISS), Crewed flight with six astronauts.","ISS assembly, Crewed flight with six astronauts.","22 February 03:22, In orbit, Crewed flight with six astronauts.","Successful, Operational, Crewed flight with six astronauts.",,
11 February 15:23-2010,4681,Atlas V 401,Solar Dynamics Observatory,NASA,GEO,Heliophysics,In orbit,Operational,,
12 February 00:39-2010,4683,Proton-M / Briz-M Enhanced,Intelsat 16,Intelsat,GEO,Communications,In orbit,Operational,,
1 March 21:19-2010,"4686, 4687, 4688",Proton-M / DM-2 Enhanced,"Kosmos 2459 (Glonass-M 731), Kosmos 2460 (Glonass-M 732), Kosmos 2461 (Glonass-M 735)",VKS,MEO,Navigation,In orbit,Operational,,
4 March 23:57-2010,"4690, 4691","Delta IV-M+ (4,2)","GOES-P (GOES-15), Satellite redesignated EWS-G2 after being transferred to the U.S. Space Force in September 2023.[11]","NOAA / NASA, Satellite redesignated EWS-G2 after being transferred to the U.S. Space Force in September 2023.[11]","GEO, Satellite redesignated EWS-G2 after being transferred to the U.S. Space Force in September 2023.[11]","Meteorology, Satellite redesignated EWS-G2 after being transferred to the U.S. Space Force in September 2023.[11]","In orbit, Satellite redesignated EWS-G2 after being transferred to the U.S. Space Force in September 2023.[11]","Operational, Satellite redesignated EWS-G2 after being transferred to the U.S. Space Force in September 2023.[11]",,
5 March 04:55-2010,"4693, 4694, 4695, 4696",Long March 4C,"Yaogan 9A, Yaogan 9B, Yaogan 9C, First Long March 4 series launch from Jiuquan.","CNSA, First Long March 4 series launch from Jiuquan.",LEO (SSO),"ELINT, First Long March 4 series launch from Jiuquan.","In orbit, First Long March 4 series launch from Jiuquan.","Operational, First Long March 4 series launch from Jiuquan.",,First Long March 4 series launch from Jiuquan.
20 March 18:27-2010,4698,Proton-M / Briz-M Enhanced,Echostar XIV,Echostar,GEO,Communications,In orbit,Operational,,
2 April 04:04-2010,"4701, 4702",Soyuz-FG,"Soyuz TMA-18, Crewed flight with three cosmonauts.","Roscosmos, Crewed flight with three cosmonauts.","LEO (ISS), Crewed flight with three cosmonauts.","Expedition 23, Crewed flight with three cosmonauts.","25 September 05:23, Crewed flight with three cosmonauts.","Successful, Crewed flight with three cosmonauts.",,
5 April 10:21-2010,"4704, 4705, 4706",Space Shuttle Discovery[12],"STS-131, Leonardo MPLM, Crewed flight with seven astronauts.","NASA, ASI / NASA, Crewed flight with seven astronauts.","LEO (ISS), Crewed flight with seven astronauts.","ISS logistics, Crewed flight with seven astronauts.","20 April 13:08:35, Crewed flight with seven astronauts.","Successful, Crewed flight with seven astronauts.",,
8 April 13:57-2010,4708,Dnepr,Cryosat-2[13],ESA,LEO,Climatology,In orbit,Operational,,
15 April 10:57-2010,4710,GSLV Mk II,GSAT-4 (HealthSat),ISRO,Intended: GEO,Communications Navigation,15 April,Launch failure,,
16 April 15:00[citation needed]-2010,4713,Soyuz-U,Kosmos 2462 (Yantar-4K2M №6/Kobalt-M №6),VKS,LEO,Reconnaissance,21 July,Successful,,
22 April 23:52[14]-2010,4715,Atlas V 501,USA-212 (X-37B OTV-1)[14],U.S. Air Force,LEO,Technology demonstration,3 December 09:16,Successful,,
24 April 11:19-2010,4718,Proton-M / Briz-M Enhanced,SES-1 (OS-1),SES World Skies,GEO,Communications,In orbit,Operational,,
27 April 01:05-2010,"4720, 4721",Kosmos-3M,"Kosmos 2463 (Parus), ","VKS, Final flight of Kosmos-3M.","LEO, Final flight of Kosmos-3M.","Navigation Communications, Final flight of Kosmos-3M.","In orbit, Final flight of Kosmos-3M.","Operational, Final flight of Kosmos-3M.",Final flight,
28 April 17:15-2010,"4723, 4724",Soyuz-U,"Progress M-05M / 37P, ISS flight 37P","Roscosmos, ISS flight 37P","LEO (ISS), ISS flight 37P","ISS logistics, ISS flight 37P","15 November 09:35:39, ISS flight 37P","Successful, ISS flight 37P",,
14 May 18:20-2010,"4727, 4728, 4729",Space Shuttle Atlantis[12],"STS-132, Rassvet (MRM-1), Crewed flight with six astronauts. Rassvet was launched along with the MLM outfittings that included a spare elbow joint for the European Robotic Arm (ERA) (which was launched with Nauka) and an ERA-portable workpost used during EVAs, as well as a heat radiator, internal hardware and an experiment airlock for launching CubeSats to be positioned on the modified passive forward port near the nadir end of the Nauka module.[15]","NASA, Roscosmos, Crewed flight with six astronauts. Rassvet was launched along with the MLM outfittings that included a spare elbow joint for the European Robotic Arm (ERA) (which was launched with Nauka) and an ERA-portable workpost used during EVAs, as well as a heat radiator, internal hardware and an experiment airlock for launching CubeSats to be positioned on the modified passive forward port near the nadir end of the Nauka module.[15]","LEO (ISS), Crewed flight with six astronauts. Rassvet was launched along with the MLM outfittings that included a spare elbow joint for the European Robotic Arm (ERA) (which was launched with Nauka) and an ERA-portable workpost used during EVAs, as well as a heat radiator, internal hardware and an experiment airlock for launching CubeSats to be positioned on the modified passive forward port near the nadir end of the Nauka module.[15]","ISS logistics, ISS assembly, Crewed flight with six astronauts. Rassvet was launched along with the MLM outfittings that included a spare elbow joint for the European Robotic Arm (ERA) (which was launched with Nauka) and an ERA-portable workpost used during EVAs, as well as a heat radiator, internal hardware and an experiment airlock for launching CubeSats to be positioned on the modified passive forward port near the nadir end of the Nauka module.[15]","26 May 12:48:11, In orbit, Crewed flight with six astronauts. Rassvet was launched along with the MLM outfittings that included a spare elbow joint for the European Robotic Arm (ERA) (which was launched with Nauka) and an ERA-portable workpost used during EVAs, as well as a heat radiator, internal hardware and an experiment airlock for launching CubeSats to be positioned on the modified passive forward port near the nadir end of the Nauka module.[15]","Successful, Operational, Crewed flight with six astronauts. Rassvet was launched along with the MLM outfittings that included a spare elbow joint for the European Robotic Arm (ERA) (which was launched with Nauka) and an ERA-portable workpost used during EVAs, as well as a heat radiator, internal hardware and an experiment airlock for launching CubeSats to be positioned on the modified passive forward port near the nadir end of the Nauka module.[15]",,
