Rocket,Payload,Operator,Orbit,Function,Decay,FlightNumberInfo,LaunchSite,Success,Rocket_ID,Year,Month,DayOfWeek,Hour
Minotaur I,⚀ Prometheus 1B,West Point,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,10 December 2015[30],,,0,185,2013.0,11.0,2.0,1.0
Minotaur I,⚀ Prometheus 2A,NPS,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,8 December 2015[31],,,0,185,2013.0,11.0,2.0,1.0
Minotaur I,⚀ Prometheus 2B,Drexel,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,13 December 2015[32],,,0,185,2013.0,11.0,2.0,1.0
Minotaur I,⚀ Prometheus 3A,St. Louis,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,29 November 2015[33],,,0,185,2013.0,11.0,2.0,1.0
Minotaur I,⚀ Prometheus 3B,UAH,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,10 December 2015[34],,,0,185,2013.0,11.0,2.0,1.0
Minotaur I,⚀ Prometheus 4A,TJHSST,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,5 December 2015[35],,,0,185,2013.0,11.0,2.0,1.0
Minotaur I,⚀ Prometheus 4B,UNM,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,1 December 2015[36],,,0,185,2013.0,11.0,2.0,1.0
Minotaur I,⚀ SENSE-1,Vermont,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,21 March 2015[37],,,0,185,2013.0,11.0,2.0,1.0
Minotaur I,⚀ SENSE-2,UFL,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,28 October 2019[38],,,0,185,2013.0,11.0,2.0,1.0
Minotaur I,⚀ Firefly,ULL,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,1 November 2017[39],,,0,185,2013.0,11.0,2.0,1.0
Minotaur I,⚀ Horus (STARE-B),UH,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,26 April 2018[40],,,0,185,2013.0,11.0,2.0,1.0
Minotaur I,⚀ Black Knight,Kentucky/Morehead,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,16 July 2015[41],,,0,185,2013.0,11.0,2.0,1.0
Minotaur I,⚀ NPS-SCAT,NASA Ames,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,28 October 2015[42],,,0,185,2013.0,11.0,2.0,1.0
Minotaur I,⚀ DragonSat-1,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,31 August 2016[43],,,0,185,2013.0,11.0,2.0,1.0
Minotaur I,⚀ COPPER,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,4 February 2016[44],,,0,185,2013.0,11.0,2.0,1.0
Minotaur I,⚀ ChargerSat-1,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,19 March 2016[45],,,0,185,2013.0,11.0,2.0,1.0
Minotaur I,⚀ TJ3Sat,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,17 September 2015[46],,,0,185,2013.0,11.0,2.0,1.0
Minotaur I,⚀ Trailblazer 1,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,22 May 2016[47],,,0,185,2013.0,11.0,2.0,1.0
Minotaur I,⚀ Vermont Lunar CubeSat,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,21 November 2015[48],,,0,185,2013.0,11.0,2.0,1.0
Minotaur I,⚀ SwampSat,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,13 December 2015[49],,,0,185,2013.0,11.0,2.0,1.0
Minotaur I,⚀ CAPE-2,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,23 October 2014[50],,,0,185,2013.0,11.0,2.0,1.0
Minotaur I,⚀ Ho'oponopono 2,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,26 August 2021[51],,,0,185,2013.0,11.0,2.0,1.0
Minotaur I,⚀ KySat-2,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,12 February 2015[52],,,0,185,2013.0,11.0,2.0,1.0
Minotaur I,⚀ PhoneSat-2.4,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,31 January 2017[53],,,0,185,2013.0,11.0,2.0,1.0
Minotaur I,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,,,0,185,2013.0,11.0,2.0,1.0
Long March 4C,Yaogan 19,CNSA,LEO,Reconnaissance,In orbit,,,1,175,2013.0,11.0,2.0,3.0
Dnepr,DubaiSat-2,EIAST,LEO (SSO),Technology demonstration,In orbit,,,1,111,2013.0,11.0,3.0,7.0
Dnepr,STSAT-3,KARI,Largest number of satellites launched on a single rocket (32).,Earth observation,13 February 2019[55],,,1,111,2013.0,11.0,3.0,7.0
Dnepr,SkySat-1,Skybox Imaging,Largest number of satellites launched on a single rocket (32).,Meteorology,19 May 2018[56],,,0,111,2013.0,11.0,3.0,7.0
Dnepr,⚀ WNISAT-1,Weather News Inc.,Largest number of satellites launched on a single rocket (32).,Photometric astrometry,Largest number of satellites launched on a single rocket (32).,,,0,111,2013.0,11.0,3.0,7.0
Dnepr,⚀ Lem (BRITE-PL),PAS,Largest number of satellites launched on a single rocket (32).,Communications,Largest number of satellites launched on a single rocket (32).,,,0,111,2013.0,11.0,3.0,7.0
Dnepr,AprizeSat-7,AprizeSat,Largest number of satellites launched on a single rocket (32).,Technology demonstration,Largest number of satellites launched on a single rocket (32).,,,0,111,2013.0,11.0,3.0,7.0
Dnepr,AprizeSat-8,La Sapienza,Largest number of satellites launched on a single rocket (32).,CubeSat deployment,Largest number of satellites launched on a single rocket (32).,,,0,111,2013.0,11.0,3.0,7.0
Dnepr,UniSat-5,TU-Delft,Largest number of satellites launched on a single rocket (32).,Space weather,Largest number of satellites launched on a single rocket (32).,,,0,111,2013.0,11.0,3.0,7.0
Dnepr,⚀ Delfi-n3Xt,Planet Labs,Largest number of satellites launched on a single rocket (32).,Largest number of satellites launched on a single rocket (32).,Largest number of satellites launched on a single rocket (32).,,,0,111,2013.0,11.0,3.0,7.0
Dnepr,⚀ Dove 3,ISIS-BV,Largest number of satellites launched on a single rocket (32).,Largest number of satellites launched on a single rocket (32).,Largest number of satellites launched on a single rocket (32).,,,0,111,2013.0,11.0,3.0,7.0
Dnepr,⚀ Dove 4,KHU,Largest number of satellites launched on a single rocket (32).,Largest number of satellites launched on a single rocket (32).,Largest number of satellites launched on a single rocket (32).,,,0,111,2013.0,11.0,3.0,7.0
Dnepr,⚀ Triton 1,INVAP,Largest number of satellites launched on a single rocket (32).,Largest number of satellites launched on a single rocket (32).,Largest number of satellites launched on a single rocket (32).,,,0,111,2013.0,11.0,3.0,7.0
Dnepr,⚀ KHUSat-1 (CINEMA-2),GOMSpace,Largest number of satellites launched on a single rocket (32).,Largest number of satellites launched on a single rocket (32).,Largest number of satellites launched on a single rocket (32).,,,0,111,2013.0,11.0,3.0,7.0
Dnepr,⚀ KHUSat-2 (CINEMA-3),EXA,Largest number of satellites launched on a single rocket (32).,Largest number of satellites launched on a single rocket (32).,Largest number of satellites launched on a single rocket (32).,,,0,111,2013.0,11.0,3.0,7.0
Dnepr,⚀ CubeBug-2,AMSAT-UK/NL,Largest number of satellites launched on a single rocket (32).,Largest number of satellites launched on a single rocket (32).,Largest number of satellites launched on a single rocket (32).,,,0,111,2013.0,11.0,3.0,7.0
Dnepr,⚀ GOMX-1,Narvik,Largest number of satellites launched on a single rocket (32).,Largest number of satellites launched on a single rocket (32).,Largest number of satellites launched on a single rocket (32).,,,0,111,2013.0,11.0,3.0,7.0
Dnepr,⚀ NEE-02 Krysaor,CPUT,Largest number of satellites launched on a single rocket (32).,Largest number of satellites launched on a single rocket (32).,Largest number of satellites launched on a single rocket (32).,,,0,111,2013.0,11.0,3.0,7.0
Dnepr,⚀ FUNCube-1,PIST,Largest number of satellites launched on a single rocket (32).,Largest number of satellites launched on a single rocket (32).,Largest number of satellites launched on a single rocket (32).,,,0,111,2013.0,11.0,3.0,7.0
Dnepr,⚀ HiNCube,Vigo,Largest number of satellites launched on a single rocket (32).,Largest number of satellites launched on a single rocket (32).,Largest number of satellites launched on a single rocket (32).,,,0,111,2013.0,11.0,3.0,7.0
Dnepr,⚀ ZACUBE-1,PUCP,Largest number of satellites launched on a single rocket (32).,Largest number of satellites launched on a single rocket (32).,Largest number of satellites launched on a single rocket (32).,,,0,111,2013.0,11.0,3.0,7.0
Dnepr,⚀ ICube-1,Würzburg,Largest number of satellites launched on a single rocket (32).,Largest number of satellites launched on a single rocket (32).,Largest number of satellites launched on a single rocket (32).,,,0,111,2013.0,11.0,3.0,7.0
Dnepr,⚀ HumSat-D,Morehead,Largest number of satellites launched on a single rocket (32).,Largest number of satellites launched on a single rocket (32).,Largest number of satellites launched on a single rocket (32).,,,0,111,2013.0,11.0,3.0,7.0
Dnepr,⚀ PUCPSat-1,UMBC,Largest number of satellites launched on a single rocket (32).,Largest number of satellites launched on a single rocket (32).,Largest number of satellites launched on a single rocket (32).,,,0,111,2013.0,11.0,3.0,7.0
Dnepr,Pocket-PUCP,STADOKO UG,Largest number of satellites launched on a single rocket (32).,Largest number of satellites launched on a single rocket (32).,Largest number of satellites launched on a single rocket (32).,,,0,111,2013.0,11.0,3.0,7.0
Dnepr,⚀ UWE-3,TU-Munich,Largest number of satellites launched on a single rocket (32).,Largest number of satellites launched on a single rocket (32).,Largest number of satellites launched on a single rocket (32).,,,0,111,2013.0,11.0,3.0,7.0
Dnepr,▫ BeakerSat-1,NTU,Largest number of satellites launched on a single rocket (32).,Largest number of satellites launched on a single rocket (32).,Largest number of satellites launched on a single rocket (32).,,,0,111,2013.0,11.0,3.0,7.0
Dnepr,▫ QubeScout-1,INTA,Largest number of satellites launched on a single rocket (32).,Largest number of satellites launched on a single rocket (32).,Largest number of satellites launched on a single rocket (32).,,,0,111,2013.0,11.0,3.0,7.0
Dnepr,▫ WREN,Hartron-Arkos,Largest number of satellites launched on a single rocket (32).,Largest number of satellites launched on a single rocket (32).,Largest number of satellites launched on a single rocket (32).,,,0,111,2013.0,11.0,3.0,7.0
Dnepr,▫ $50SAT,Largest number of satellites launched on a single rocket (32).,Largest number of satellites launched on a single rocket (32).,Largest number of satellites launched on a single rocket (32).,Largest number of satellites launched on a single rocket (32).,,,0,111,2013.0,11.0,3.0,7.0
Dnepr,⚀ First-MOVE,Largest number of satellites launched on a single rocket (32).,Largest number of satellites launched on a single rocket (32).,Largest number of satellites launched on a single rocket (32).,Largest number of satellites launched on a single rocket (32).,,,0,111,2013.0,11.0,3.0,7.0
Dnepr,⚀ Velox-P2,Largest number of satellites launched on a single rocket (32).,Largest number of satellites launched on a single rocket (32).,Largest number of satellites launched on a single rocket (32).,Largest number of satellites launched on a single rocket (32).,,,0,111,2013.0,11.0,3.0,7.0
Dnepr,⚀ OPTOS,Largest number of satellites launched on a single rocket (32).,Largest number of satellites launched on a single rocket (32).,Largest number of satellites launched on a single rocket (32).,Largest number of satellites launched on a single rocket (32).,,,0,111,2013.0,11.0,3.0,7.0
Dnepr,BPA-3,Largest number of satellites launched on a single rocket (32).,Largest number of satellites launched on a single rocket (32).,Largest number of satellites launched on a single rocket (32).,Largest number of satellites launched on a single rocket (32).,,,0,111,2013.0,11.0,3.0,7.0
Dnepr,Largest number of satellites launched on a single rocket (32).,Largest number of satellites launched on a single rocket (32).,Largest number of satellites launched on a single rocket (32).,Largest number of satellites launched on a single rocket (32).,Largest number of satellites launched on a single rocket (32).,,,0,111,2013.0,11.0,3.0,7.0
Rokot / Briz-KM,Swarm A,ESA,LEO,Magnetospheric,In orbit,,,1,252,2013.0,11.0,4.0,12.0
Rokot / Briz-KM,Swarm B,ESA,LEO,Magnetospheric,In orbit,,,1,252,2013.0,11.0,4.0,12.0
Rokot / Briz-KM,Swarm C,ESA,LEO,Magnetospheric,In orbit,,,1,252,2013.0,11.0,4.0,12.0
Long March 2D,Shiyan 5,CNSA,LEO (SSO),Technology demonstration,In orbit,,,1,154,2013.0,11.0,0.0,2.0
Soyuz-U,Progress M-21M / 53P,Roscosmos,LEO (ISS),ISS logistics,9 June 2014,,,1,288,2013.0,11.0,0.0,20.0
Long March 3B,Chang'e 3,CNSA,Selenocentric,Lunar lander,14 December 13:12,,,1,162,2013.0,12.0,6.0,17.0
Long March 3B,Yutu,China's first lunar rover,China's first lunar rover,Lunar rover,China's first lunar rover,,,0,162,2013.0,12.0,6.0,17.0
Long March 3B,China's first lunar rover,and the first spacecraft to make a soft landing on the Moon since the Soviet Luna 24 mission in 1976.[57],and the first spacecraft to make a soft landing on the Moon since the Soviet Luna 24 mission in 1976.[57],China's first lunar rover,and the first spacecraft to make a soft landing on the Moon since the Soviet Luna 24 mission in 1976.[57],,,0,162,2013.0,12.0,6.0,17.0
Long March 3B,and the first spacecraft to make a soft landing on the Moon since the Soviet Luna 24 mission in 1976.[57],and the first spacecraft to make a soft landing on the Moon since the Soviet Luna 24 mission in 1976.[57],and the first spacecraft to make a soft landing on the Moon since the Soviet Luna 24 mission in 1976.[57],and the first spacecraft to make a soft landing on the Moon since the Soviet Luna 24 mission in 1976.[57],and the first spacecraft to make a soft landing on the Moon since the Soviet Luna 24 mission in 1976.[57],,,0,162,2013.0,12.0,6.0,17.0
Falcon 9 v1.1,SES-8,SES World Skies,GEO,Communications,In orbit,,,1,122,2013.0,12.0,1.0,22.0
Falcon 9 v1.1,First launch of Falcon 9 v1.1 from CCAFS; first SpaceX launch targeting GEO.,First launch of Falcon 9 v1.1 from CCAFS; first SpaceX launch targeting GEO.,First launch of Falcon 9 v1.1 from CCAFS; first SpaceX launch targeting GEO.,First launch of Falcon 9 v1.1 from CCAFS; first SpaceX launch targeting GEO.,First launch of Falcon 9 v1.1 from CCAFS; first SpaceX launch targeting GEO.,,,0,122,2013.0,12.0,1.0,22.0
Atlas V 501,USA-247 (Topaz),NRO,LEO,Reconnaissance,In orbit,,,1,49,2013.0,12.0,4.0,7.0
Atlas V 501,⚀ AeroCube-5A,The Aerospace Corporation,NROL-39 mission.,Technology demonstration,19 April 2023[59],,,1,49,2013.0,12.0,4.0,7.0
Atlas V 501,⚀ AeroCube-5B,AFIT,NROL-39 mission.,NROL-39 mission.,23 November 2022[60],,,0,49,2013.0,12.0,4.0,7.0
Atlas V 501,⚀ ALICE,CUNY,NROL-39 mission.,NROL-39 mission.,NROL-39 mission.,,,0,49,2013.0,12.0,4.0,7.0
Atlas V 501,⚀ CUNYSAT 1,Montana State,NROL-39 mission.,NROL-39 mission.,NROL-39 mission.,,,0,49,2013.0,12.0,4.0,7.0
Atlas V 501,⚀ FIREBIRD A,NASA JPL,NROL-39 mission.,NROL-39 mission.,NROL-39 mission.,,,0,49,2013.0,12.0,4.0,7.0
Atlas V 501,⚀ FIREBIRD B,Michigan,NROL-39 mission.,NROL-39 mission.,NROL-39 mission.,,,0,49,2013.0,12.0,4.0,7.0
Atlas V 501,⚀ IPEX,U.S. Army,NROL-39 mission.,NROL-39 mission.,NROL-39 mission.,,,0,49,2013.0,12.0,4.0,7.0
Atlas V 501,⚀ M-Cubed 2,ORS,NROL-39 mission.,NROL-39 mission.,NROL-39 mission.,,,0,49,2013.0,12.0,4.0,7.0
Atlas V 501,⚀ SMDC-ONE 2.3,NROL-39 mission.,NROL-39 mission.,NROL-39 mission.,NROL-39 mission.,,,0,49,2013.0,12.0,4.0,7.0
