DateTime,Rocket,Payload,Operator,Orbit,Function,Decay,Outcome,Year
,Soyuz-U,Fast rendezvous test; Sfera-53 deployed from ISS at 18:29 UTC on 20 August during a spacewalk.,Fast rendezvous test;[86] Sfera-53 deployed from ISS at 18:29 UTC on 20 August during a spacewalk.,Fast rendezvous test;[86] Sfera-53 deployed from ISS at 18:29 UTC on 20 August during a spacewalk.,Fast rendezvous test;[86] Sfera-53 deployed from ISS at 18:29 UTC on 20 August during a spacewalk.,Fast rendezvous test;[86] Sfera-53 deployed from ISS at 18:29 UTC on 20 August during a spacewalk.,Fast rendezvous test,2012
,Ariane 5 ECA,Intelsat 20,Intelsat,Geosynchronous,Communications,In orbit,Operational,2012
,Ariane 5 ECA,HYLAS-2,Avanti,Geosynchronous,Communications,In orbit,Operational,2012
,Proton-M / Briz-M Enhanced,Telkom-3,PT Telkom,Planned: Geosynchronous Achieved: Medium Earth,Communications,5 February 2021 [93],Launch failure,2012
,Proton-M / Briz-M Enhanced,Ekspress-MD2,RSCC,Planned: Geosynchronous Achieved: Medium Earth,Communications,In orbit,Launch failure,2012
,Proton-M / Briz-M Enhanced,"Briz-M stage failure 7 seconds into its third burn. Stage exploded on 16 October, generating over 500 pieces of orbital debris.","Briz-M stage failure 7 seconds into its third burn.[91] Stage exploded on 16 October, generating over 500 pieces of orbital debris.","Briz-M stage failure 7 seconds into its third burn.[91] Stage exploded on 16 October, generating over 500 pieces of orbital debris.","Briz-M stage failure 7 seconds into its third burn.[91] Stage exploded on 16 October, generating over 500 pieces of orbital debris.","Briz-M stage failure 7 seconds into its third burn.[91] Stage exploded on 16 October, generating over 500 pieces of orbital debris.","Briz-M stage failure 7 seconds into its third burn. Stage exploded on 16 October, generating over 500 pieces of orbital debris.",2012
,Zenit-3SL,Intelsat 21,Intelsat,Geosynchronous,Communications,In orbit,Operational,2012
,Atlas V 401,Van Allen Probe A (RBSP-A),NASA,Highly elliptical,Magnetospheric research,In orbit,Successful,2012
,Atlas V 401,Van Allen Probe B (RBSP-B),NASA,Highly elliptical,Magnetospheric research,In orbit,Successful,2012
,Atlas V 401,"Launch of the two Van Allen Probes, formerly known as the Radiation Belt Storm Probes. Van Allen Probe B ceased operations on 19 July 2019; Van Allen Probe A was deactivated on 18 October 2019.","Launch of the two Van Allen Probes, formerly known as the Radiation Belt Storm Probes. Van Allen Probe B ceased operations on 19 July 2019;[96] Van Allen Probe A was deactivated on 18 October 2019.[97]","Launch of the two Van Allen Probes, formerly known as the Radiation Belt Storm Probes. Van Allen Probe B ceased operations on 19 July 2019;[96] Van Allen Probe A was deactivated on 18 October 2019.[97]","Launch of the two Van Allen Probes, formerly known as the Radiation Belt Storm Probes. Van Allen Probe B ceased operations on 19 July 2019;[96] Van Allen Probe A was deactivated on 18 October 2019.[97]","Launch of the two Van Allen Probes, formerly known as the Radiation Belt Storm Probes. Van Allen Probe B ceased operations on 19 July 2019;[96] Van Allen Probe A was deactivated on 18 October 2019.[97]","Launch of the two Van Allen Probes, formerly known as the Radiation Belt Storm Probes. Van Allen Probe B ceased operations on 19 July 2019",2012
,PSLV-CA,SPOT 6,CNES,Low Earth (SSO),Earth observation,In orbit,Operational,2012
,PSLV-CA,PROITERES,Osaka Institute of Technology,Low Earth (SSO),Amateur radio Technology demonstration,In orbit,Operational,2012
,Atlas V 401,USA-238 (NOSS),NRO,Low Earth,ELINT,In orbit,Operational,2012
,Atlas V 401,USA-238 (NOSS),NRO,Low Earth,ELINT,In orbit,Operational,2012
,Atlas V 401,⚀ CINEMA 1,UCB,Low Earth,Magnetospheric research,In orbit,Operational,2012
,Atlas V 401,⚀ CXBN,Morehead,Low Earth,X-ray astronomy,In orbit,Operational,2012
,Atlas V 401,⚀ CP 5,CalPoly,Low Earth,Technology demonstration,In orbit,Operational,2012
,Atlas V 401,⚀ CSSWE,CU-Boulder,Low Earth,Magnetospheric research,In orbit,Operational,2012
,Atlas V 401,⚀ Aeneas,USC / NRO,Low Earth,Technology demonstration,In orbit,Operational,2012
,Atlas V 401,⚀ STARE A,Lawrence Livermore,Low Earth,Technology demonstration,In orbit,Operational,2012
,Atlas V 401,⚀ SMDC-ONE 2.1,U.S. Army,Low Earth,Technology demonstration,In orbit,Operational,2012
,Atlas V 401,⚀ SMDC-ONE 2.2,U.S. Army,Low Earth,Technology demonstration,In orbit,Operational,2012
,Atlas V 401,⚀ AeroCube 4,The Aerospace Corporation,Low Earth,Technology demonstration,In orbit,Operational,2012
,Atlas V 401,⚀ AeroCube 4.5A,The Aerospace Corporation,Low Earth,Technology demonstration,In orbit,Operational,2012
,Atlas V 401,⚀ AeroCube 4.5B,The Aerospace Corporation,Low Earth,Technology demonstration,In orbit,Operational,2012
,Atlas V 401,NRO Launch 36,NRO Launch 36,NRO Launch 36,NRO Launch 36,NRO Launch 36,NRO Launch 36,2012
,Soyuz-2.1a / Fregat,MetOp-B,EUMETSAT,Low Earth (SSO),Meteorology,In orbit,Operational,2012
,Long March 3B/E,Compass-M5,CNSA,Medium Earth,Navigation,In orbit,Operational,2012
,Long March 3B/E,Compass-M6,CNSA,Medium Earth,Navigation,In orbit,Operational,2012
,Ariane 5 ECA,Astra 2F,SES,Geosynchronous,Communications,In orbit,Operational,2012
,Ariane 5 ECA,GSAT-10,ISRO,Geosynchronous,Communications,In orbit,Operational,2012
,Long March 2D,VRSS-1,MPPCTII,Low Earth (SSO),Earth observation,In orbit,Operational,2012
,"Delta IV M+(4,2)",USA-239 (GPS IIF-3),U.S. Air Force,Medium Earth,Navigation,In orbit,Operational,2012
,"Delta IV M+(4,2)",Named after Star Arcturus.,Named after Star Arcturus.,Named after Star Arcturus.,Named after Star Arcturus.,Named after Star Arcturus.,Named after Star Arcturus.,2012
,Falcon 9 v1.0,SpaceX CRS-1,NASA,Low Earth (ISS),ISS logistics,28 October 19:22[12],Successful,2012
,Falcon 9 v1.0,Orbcomm-2 F1,Orbcomm,Low Earth,Communications,10 October,Launch failure,2012
,Falcon 9 v1.0,First flight of Commercial Resupply Services programme. First stage engine failure resulted in a too-low orbit for Orbcomm payload; CRS-1 nonetheless placed into correct orbit.,First flight of Commercial Resupply Services programme.[108] First stage engine failure resulted in a too-low orbit for Orbcomm payload; CRS-1 nonetheless placed into correct orbit.,First flight of Commercial Resupply Services programme.[108] First stage engine failure resulted in a too-low orbit for Orbcomm payload; CRS-1 nonetheless placed into correct orbit.,First flight of Commercial Resupply Services programme.[108] First stage engine failure resulted in a too-low orbit for Orbcomm payload; CRS-1 nonetheless placed into correct orbit.,First flight of Commercial Resupply Services programme.[108] First stage engine failure resulted in a too-low orbit for Orbcomm payload; CRS-1 nonetheless placed into correct orbit.,First flight of Commercial Resupply Services programme. First stage engine failure resulted in a too-low orbit for Orbcomm payload,2012
,Soyuz ST-B / Fregat-MT,Galileo IOV 3,ESA,Medium Earth,Navigation,In orbit,Operational,2012
,Soyuz ST-B / Fregat-MT,Galileo IOV 4,ESA,Medium Earth,Navigation,In orbit,Operational,2012
,Long March 2C/SMA,Shijian 9A,CNSA,Low Earth (SSO),Technology demonstration,In orbit,Operational,2012
,Long March 2C/SMA,Shijian 9B,CNSA,Low Earth (SSO),Technology demonstration,In orbit,Operational,2012
,Proton-M / Briz-M Enhanced,Intelsat 23,Intelsat,Geosynchronous,Communications,In orbit,Operational,2012
,Soyuz-FG,Soyuz TMA-06M,Roscosmos,Low Earth (ISS)[116],Expedition 33/34,16 March 2013 03:06,Successful,2012
,Soyuz-FG,Crewed flight,Crewed flight,Crewed flight,Crewed flight,Crewed flight,Crewed flight,2012
,Long March 3C,Compass-G6,CNSA,Geosynchronous,Navigation,In orbit,Operational,2012
,Long March 3C,Compass navigation system became commercially operational in Asia-Pacific region in December 2012.,Compass navigation system became commercially operational in Asia-Pacific region in December 2012.[118],Compass navigation system became commercially operational in Asia-Pacific region in December 2012.[118],Compass navigation system became commercially operational in Asia-Pacific region in December 2012.[118],Compass navigation system became commercially operational in Asia-Pacific region in December 2012.[118],Compass navigation system became commercially operational in Asia-Pacific region in December 2012.,2012
,Soyuz-U,Progress M-17M / 49P,Roscosmos,Low Earth (ISS),ISS logistics,21 April 2013,Successful,2012
,Proton-M / Briz-M Enhanced,Luch 5B,Gonets Satellite System,Geosynchronous,Communications,In orbit,Operational,2012
,Proton-M / Briz-M Enhanced,Yamal-300K,Gazprom,Geosynchronous,Communications,In orbit,Operational,2012
,Ariane 5 ECA,Eutelsat 21B,Eutelsat,Geosynchronous,Communications,In orbit,Operational,2012
,Ariane 5 ECA,Star One C3,Star One,Geosynchronous,Communications,In orbit,Operational,2012
,Soyuz-2.1a / Fregat,Meridian 6,VKO,Molniya,Communications,In orbit,Operational,2012
,Long March 2C,Huanjing 1C,CNSA,Low Earth (SSO),Earth observation,1 March 2023[126],Successful,2012
,Long March 2C,Xinyan 1,CASC,Low Earth (SSO),Technology demonstration,5 October 2019[127],Successful,2012
,Long March 2C,Fengniao 1,SAST,Low Earth (SSO),Technology demonstration,11 January 2024[128],Successful,2012
,Long March 2C,Fengniao 1A,SAST,Low Earth (SSO),Technology demonstration,11 January 2024[129],Deployment failure,2012
,Proton-M / Briz-M Enhanced,EchoStar XVI,EchoStar,Geosynchronous,Communications,In orbit,Operational,2012
,Long March 4C,Yaogan 16A,CNSA,Low Earth,ELINT,In orbit,Operational,2012
,Long March 4C,Yaogan 16B,CNSA,Low Earth,ELINT,In orbit,Operational,2012
,Long March 4C,Yaogan 16C,CNSA,Low Earth,ELINT,In orbit,Operational,2012
,Long March 3B/E,ChinaSat 12 / SupremeSAT-I,China Satcom / SupremeSAT,Geosynchronous,Communications,In orbit,Operational,2012
,Long March 3B/E,"Part of satellite's communications payload was leased to SupremeSAT, a Sri Lankan satellite operator, as SupremeSAT-I.","Part of satellite's communications payload was leased to SupremeSAT, a Sri Lankan satellite operator, as SupremeSAT-I.","Part of satellite's communications payload was leased to SupremeSAT, a Sri Lankan satellite operator, as SupremeSAT-I.","Part of satellite's communications payload was leased to SupremeSAT, a Sri Lankan satellite operator, as SupremeSAT-I.","Part of satellite's communications payload was leased to SupremeSAT, a Sri Lankan satellite operator, as SupremeSAT-I.","Part of satellite's communications payload was leased to SupremeSAT, a Sri Lankan satellite operator, as SupremeSAT-I.",2012
,Soyuz ST-A / Fregat,Pléiades-HR 1B,CNES,Low Earth (SSO),Earth observation/Reconnaissance,In orbit,Operational,2012
,Zenit-3SL,Eutelsat 70B,Eutelsat,Geosynchronous,Communications,In orbit,Operational,2012
,Proton-M / Briz-M Enhanced,Yamal-402,Gazprom,Geosynchronous,Communications,In orbit,Operational,2012
,Proton-M / Briz-M Enhanced,Briz-M stage failure 4 minutes before scheduled shut down on its fourth burn.,Briz-M stage failure 4 minutes before scheduled shut down on its fourth burn.[135],Briz-M stage failure 4 minutes before scheduled shut down on its fourth burn.[135],Briz-M stage failure 4 minutes before scheduled shut down on its fourth burn.[135],Briz-M stage failure 4 minutes before scheduled shut down on its fourth burn.[135],Briz-M stage failure 4 minutes before scheduled shut down on its fourth burn.,2012
,Atlas V 501,USA-240 (X-37B OTV-3),U.S. Air Force,Low Earth,Technology demonstration,17 October 2014,Successful,2012
,Atlas V 501,270-day X-37B endurance mission ultimately extended to over 680 days.,270-day X-37B endurance mission ultimately extended to over 680 days.[137],270-day X-37B endurance mission ultimately extended to over 680 days.[137],270-day X-37B endurance mission ultimately extended to over 680 days.[137],270-day X-37B endurance mission ultimately extended to over 680 days.[137],270-day X-37B endurance mission ultimately extended to over 680 days.,2012
,Unha-3,Kwangmyŏngsŏng-3 Unit 2,KCST,Low Earth,Technology demonstration,In orbit,Spacecraft failure,2012
,Unha-3,"First successful North Korean orbital launch, first North Korean satellite; satellite reached orbit but malfunctioned thereafter.","First successful North Korean orbital launch, first North Korean satellite;[139] satellite reached orbit but malfunctioned thereafter.[140]","First successful North Korean orbital launch, first North Korean satellite;[139] satellite reached orbit but malfunctioned thereafter.[140]","First successful North Korean orbital launch, first North Korean satellite;[139] satellite reached orbit but malfunctioned thereafter.[140]","First successful North Korean orbital launch, first North Korean satellite;[139] satellite reached orbit but malfunctioned thereafter.[140]","First successful North Korean orbital launch, first North Korean satellite",2012
,Long March 2D,Göktürk-2,MSB,Low Earth (SSO),Earth observation,In orbit,Operational,2012
,Soyuz-FG,Soyuz TMA-07M,Roscosmos,Low Earth (ISS),Expedition 34/35,14 May 2013 02:31,Successful,2012
,Soyuz-FG,Crewed flight,Crewed flight,Crewed flight,Crewed flight,Crewed flight,Crewed flight,2012
,Ariane 5 ECA,Skynet 5D,Astrium,Geosynchronous,Communications,In orbit,Operational,2012
,Ariane 5 ECA,Mexsat-3,SCT,Geosynchronous,Communications,In orbit,Operational,2012
,Ariane 5 ECA,Skynet 5D military communications satellite operated by Astrium Services on behalf of the British Ministry of Defence.,Skynet 5D military communications satellite operated by Astrium Services on behalf of the British Ministry of Defence.,Skynet 5D military communications satellite operated by Astrium Services on behalf of the British Ministry of Defence.,Skynet 5D military communications satellite operated by Astrium Services on behalf of the British Ministry of Defence.,Skynet 5D military communications satellite operated by Astrium Services on behalf of the British Ministry of Defence.,Skynet 5D military communications satellite operated by Astrium Services on behalf of the British Ministry of Defence.,2012
,Rokot / Briz-KM,Kosmos 2482 (Strela-3M),VKO,Low Earth,Communications,In orbit,Operational,2013
,Rokot / Briz-KM,Kosmos 2483 (Strela-3M),VKO,Low Earth,Communications,In orbit,Launch Failure,2013
,Rokot / Briz-KM,Kosmos 2484 (Strela-3M),VKO,Low Earth,Communications,In orbit,Operational,2013
,Rokot / Briz-KM,"Briz-KM failed around the time of spacecraft separation, resulting in the loss of one satellite.","Briz-KM failed around the time of spacecraft separation, resulting in the loss of one satellite.","Briz-KM failed around the time of spacecraft separation, resulting in the loss of one satellite.","Briz-KM failed around the time of spacecraft separation, resulting in the loss of one satellite.","Briz-KM failed around the time of spacecraft separation, resulting in the loss of one satellite.","Briz-KM failed around the time of spacecraft separation, resulting in the loss of one satellite.",2013
,H-IIA 202,IGS Radar 4,CSIC,Low Earth (SSO),Reconnaissance,In orbit,Operational,2013
,H-IIA 202,IGS Optical 5V,CSIC,Low Earth (SSO),Technology demonstration,20 February 2019[4],Successful,2013
,Naro-1,STSAT-2C,KARI,Low Earth,Technology demonstration,13 November 2019[5],Successful,2013
,Naro-1,First successful launch of Naro-1; first successful South Korean launch with Russian assistance; final flight of Naro-1.,First successful launch of Naro-1; first successful South Korean launch with Russian assistance; final flight of Naro-1.,First successful launch of Naro-1; first successful South Korean launch with Russian assistance; final flight of Naro-1.,First successful launch of Naro-1; first successful South Korean launch with Russian assistance; final flight of Naro-1.,First successful launch of Naro-1; first successful South Korean launch with Russian assistance; final flight of Naro-1.,First successful launch of Naro-1,2013
,Atlas V 401,TDRS-K (TDRS-11),NASA,Geosynchronous,Communications,In orbit,Operational,2013
,Zenit-3SL,Intelsat 27,Intelsat,Intended: Geosynchronous,Communications,+40 seconds,Launch failure,2013
,Zenit-3SL,"First stage failure, impacted ocean at 40 seconds after launch. Accident caused by failure of the first stage hydraulic power supply unit pump at T+3.9s, which lead to loss of engine gimbal control.","First stage failure, impacted ocean at 40 seconds after launch. Accident caused by failure of the first stage hydraulic power supply unit pump at T+3.9s, which lead to loss of engine gimbal control.[6]","First stage failure, impacted ocean at 40 seconds after launch. Accident caused by failure of the first stage hydraulic power supply unit pump at T+3.9s, which lead to loss of engine gimbal control.[6]","First stage failure, impacted ocean at 40 seconds after launch. Accident caused by failure of the first stage hydraulic power supply unit pump at T+3.9s, which lead to loss of engine gimbal control.[6]","First stage failure, impacted ocean at 40 seconds after launch. Accident caused by failure of the first stage hydraulic power supply unit pump at T+3.9s, which lead to loss of engine gimbal control.[6]","First stage failure, impacted ocean at 40 seconds after launch. Accident caused by failure of the first stage hydraulic power supply unit pump at T+3.9s, which lead to loss of engine gimbal control.",2013
